MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly_hi,kelly_lo,kelly,bet,*
SAT98,2021-09-19,02:45:00,Italian Division 1 [ISA],Salernitana,Atalanta,10.5,2.35,1.52,0.36,0.64,-0.11,-0.06,,,
SUN8,2021-09-19,18:30:00,Italian Division 1 [ISA],Empoli,Sampdoria,10.5,1.9,1.8,0.47,0.53,-0.11,-0.06,,,
SUN56,2021-09-20,02:45:00,Italian Division 1 [ISA],Juventus,AC Milan,11.5,2.55,1.45,0.33,0.67,-0.1,-0.07,,,
FRI18,2021-09-18,03:00:00,Eng Premier [EPL],Newcastle,Leeds,11.5,2.33,1.53,0.37,0.63,-0.1,-0.08,,,
SAT37,2021-09-18,22:00:00,Eng Premier [EPL],Liverpool,Crystal Palace,14.5,4.4,1.16,0.15,0.85,-0.09,-0.12,,,
SAT39,2021-09-18,22:00:00,Eng Premier [EPL],Burnley,Arsenal,14.5,4.9,1.13,0.16,0.84,-0.06,-0.35,,,
SAT40,2021-09-18,22:00:00,Eng Premier [EPL],Norwich,Watford,11.5,2.68,1.41,0.36,0.64,-0.02,-0.24,,,
SAT79,2021-09-19,00:30:00,Eng Premier [EPL],Aston Villa,Everton,10.5,2,1.72,0.45,0.55,-0.1,-0.08,,,
SAT26,2021-09-18,20:00:00,Spanish Division 1 [SFL],Vallecano,Getafe,8.5,1.95,1.75,0.43,0.57,-0.16,-0.01,,,
SAT101,2021-09-19,03:00:00,Spanish Division 1 [SFL],Alaves,Osasuna,9.5,2.55,1.45,0.34,0.66,-0.09,-0.09,,,
SUN60,2021-09-20,03:00:00,Spanish Division 1 [SFL],Valencia,Real Madrid,14.5,7,1.06,0.08,0.92,-0.07,-0.45,,,
SAT102,2021-09-19,03:00:00,French Division 1 [FFL],St. Etienne,Bordeaux,10.5,2.43,1.49,0.41,0.59,-0.01,-0.24,,,
SUN20,2021-09-19,21:00:00,French Division 1 [FFL],Troyes,Montpellier,12.5,4.3,1.17,0.18,0.82,-0.07,-0.25,,,
SUN21,2021-09-19,21:00:00,French Division 1 [FFL],Angers SCO,Nantes,10.5,2.6,1.43,0.31,0.69,-0.12,-0.03,,,
SUN22,2021-09-19,21:00:00,French Division 1 [FFL],Clermont,Brest,13.5,4.75,1.14,0.15,0.85,-0.08,-0.19,,,
SUN23,2021-09-19,21:00:00,French Division 1 [FFL],Reims,Lorient,12.5,4.4,1.16,0.2,0.8,-0.03,-0.47,,,
SAT23,2021-09-18,19:30:00,German Division 2 [GD2],Dusseldorf,Jahn Regensburg,13.5,5.55,1.1,0.17,0.83,-0.01,-0.86,,,
SAT24,2021-09-18,19:30:00,German Division 2 [GD2],Holstein Kiel,Hannover,13.5,5.1,1.12,0.14,0.86,-0.06,-0.35,,,
SAT25,2021-09-18,19:30:00,German Division 2 [GD2],Sandhausen,Heidenheim,11.5,2.6,1.43,0.37,0.63,-0.02,-0.23,,,
SAT96,2021-09-19,02:30:00,German Division 2 [GD2],Werder Bremen,Hamburg,11.5,2.75,1.39,0.31,0.69,-0.08,-0.12,,,
SAT34,2021-09-18,21:30:00,German Division 1 [GSL],Bielefeld,Hoffenheim,9.5,1.87,1.83,0.51,0.49,-0.06,-0.12,,,
SAT35,2021-09-18,21:30:00,German Division 1 [GSL],Mainz,Freiburg,12.5,4.55,1.15,0.16,0.84,-0.07,-0.26,,,
SAT81,2021-09-19,00:30:00,German Division 1 [GSL],Cologne,RB Leipzig,10.5,2.5,1.46,0.36,0.64,-0.06,-0.15,,,
FRI16,2021-09-18,02:45:00,Italian Division 1 [ISA],Sassuolo,AC Torino,13.5,4.55,1.15,0.2,0.8,-0.03,-0.52,,,
SAT27,2021-09-18,21:00:00,Italian Division 1 [ISA],Genoa,Fiorentina,12.5,4.4,1.16,0.2,0.8,-0.03,-0.47,,,
SAT73,2021-09-19,00:00:00,Italian Division 1 [ISA],Inter Milan,Bologna,10.5,1.97,1.74,0.48,0.52,-0.06,-0.12,,,
SAT98,2021-09-19,02:45:00,Italian Division 1 [ISA],Salernitana,Atalanta,9.5,1.85,1.85,0.47,0.53,-0.16,-0.02,,,
SUN8,2021-09-19,18:30:00,Italian Division 1 [ISA],Empoli,Sampdoria,14.5,5.1,1.12,0.15,0.85,-0.06,-0.4,,,
